BOROUGH,INSPECTION_DATE,count
Bronx,2010,4932
Bronx,2011,6281
Bronx,2012,6720
Bronx,2013,7375
Bronx,2014,6572
Bronx,2015,7478
Bronx,2016,8507
Bronx,2017,11074
Brooklyn,2010,4248
Brooklyn,2011,4753
Brooklyn,2012,4118
Brooklyn,2013,2989
Brooklyn,2014,3999
Brooklyn,2015,4135
Brooklyn,2016,6350
Brooklyn,2017,9313
Manhattan,2010,7540
Manhattan,2011,5537
Manhattan,2012,5032
Manhattan,2013,4701
Manhattan,2014,4528
Manhattan,2015,4892
Manhattan,2016,7341
Manhattan,2017,8315
Queens,2010,1489
Queens,2011,979
Queens,2012,842
Queens,2013,1123
Queens,2014,957
Queens,2015,781
Queens,2016,1557
Queens,2017,1526
Staten Island,2010,299
Staten Island,2011,317
Staten Island,2012,203
Staten Island,2013,176
Staten Island,2014,239
Staten Island,2015,148
Staten Island,2016,261
Staten Island,2017,302
